layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
3,Embedding,0.02595649658487631,4096,32000,7.8125,3.726658987540638,1.0244672900319234,-0.99975147058046,True,1.883,LAYER_TYPE.EMBEDDING,1.462717299353153,2.477,0.275,_orig_mod.model.embed_tokens,0,300.0,4096,103,4096,1,0.26866569319935996,1.883,159.4,success,1.3720703125,,0,1.8828125,0.30712890625
7,Linear,0.010924611503279419,4096,4096,1.0,1.7929457402032476,0.3965841896055035,-0.771914218241585,True,1.664,LAYER_TYPE.DENSE,1.0049700965932675,1.371,0.2212,_orig_mod.model.layers.0.self_attn.q_proj,0,23.48,4096,755,4096,1,0.028858250209847107,1.664,14.11,success,1.2900390625,over-trained,158,1.6640625,0.0023193359375
8,Linear,0.015482839648660152,4096,4096,1.0,1.6959104886949696,0.9423565117846071,-0.7265074995214919,True,3.596,LAYER_TYPE.DENSE,1.4918425207139745,1.584,0.5557,_orig_mod.model.layers.0.self_attn.k_proj,0,38.38,4096,975,4096,1,0.02228697235366429,3.596,10.67,success,1.896484375,over-trained,157,3.595703125,0.001434326171875
9,Linear,0.03919694619415226,4096,4096,1.0,2.2812277899625615,-0.1174448022969617,-0.892864858372099,True,0.888,LAYER_TYPE.DENSE,0.5802853787076023,1.584,-0.05148,_orig_mod.model.layers.0.self_attn.v_proj,0,38.34,4096,210,4096,1,0.08841311715254833,0.888,43.16,success,0.9423828125,,80,0.88818359375,0.0374755859375
10,Linear,0.02743891031441456,4096,4096,1.0,2.883851142432814,-0.38406757768483885,-0.928225842862083,True,0.736,LAYER_TYPE.DENSE,-0.01928656819724512,1.577,-0.1332,_orig_mod.model.layers.0.self_attn.o_proj,0,37.8,4096,114,4096,1,0.17643882511345385,0.736,51.38,success,0.85791015625,,73,0.73583984375,0.05889892578125
13,Linear,0.026231903206342833,4096,11008,2.6875,3.034574015790074,0.3893233997308798,-0.9619795098752497,True,1.344,LAYER_TYPE.DENSE,0.9090305376845207,2.055,0.1283,_orig_mod.model.layers.0.mlp.gate_proj,0,113.25,4096,125,4096,1,0.18197783218245342,1.344,84.25,success,1.1591796875,,0,1.34375,0.1416015625
14,Linear,0.029303297125066963,4096,11008,2.6875,3.1012142482817855,0.30361008631860253,-0.9619795098752497,True,1.253,LAYER_TYPE.DENSE,0.8095750246608135,2.045,0.0979,_orig_mod.model.layers.0.mlp.up_proj,0,111.06,4096,124,4096,1,0.18869460984280645,1.253,88.6,success,1.119140625,,0,1.2529296875,0.1419677734375
15,Linear,0.02006996480008527,4096,11008,2.6875,3.992483158951675,-1.231080622499015,-0.990911224457964,True,0.4917,LAYER_TYPE.DENSE,-0.500330316394083,2.047,-0.3083,_orig_mod.model.layers.0.mlp.down_proj,0,111.6,4096,162,4096,1,0.23511168158680784,0.4917,227.0,success,0.701171875,,0,0.49169921875,0.102294921875
21,Linear,0.009818449433774412,4096,4096,1.0,1.9722215001439682,2.295789090011338,-0.7731197063491981,True,14.59,LAYER_TYPE.DENSE,2.353388272140837,1.835,1.164,_orig_mod.model.layers.1.self_attn.q_proj,0,68.44,4096,836,4096,1,0.03362498368655779,14.59,4.69,success,3.8203125,over-trained,59,14.59375,0.00920867919921875
22,Linear,0.007083037298606931,4096,4096,1.0,1.8885228972485621,2.307170062947218,-0.728918475736718,True,16.66,LAYER_TYPE.DENSE,2.5200490014498125,1.976,1.222,_orig_mod.model.layers.1.self_attn.k_proj,0,94.6,4096,983,4096,1,0.02833947921777442,16.66,5.68,success,4.08203125,over-trained,64,16.65625,0.007137298583984375
23,Linear,0.04034855915603097,4096,4096,1.0,4.391162047188857,-2.1098161398602713,-0.9362624302461703,True,0.3308,LAYER_TYPE.DENSE,-1.7522709960964802,1.518,-0.4805,_orig_mod.model.layers.1.self_attn.v_proj,0,32.9,4096,36,4096,1,0.5651936745314762,0.3308,99.5,success,0.5751953125,,74,0.330810546875,0.09722900390625
24,Linear,0.03207680206223151,4096,4096,1.0,4.098831496552272,-2.2055235884768574,-0.9603721923984322,True,0.2896,LAYER_TYPE.DENSE,-1.8313555707872504,1.575,-0.538,_orig_mod.model.layers.1.self_attn.o_proj,0,37.56,4096,50,4096,1,0.4382409529933138,0.2896,129.8,success,0.5380859375,,50,0.28955078125,0.07183837890625
27,Linear,0.03722762001222091,4096,11008,2.6875,4.358449488932095,-0.4426550262196659,-0.9756417084281981,True,0.7915,LAYER_TYPE.DENSE,-0.052962290818068886,2.074,-0.10156,_orig_mod.model.layers.1.mlp.gate_proj,0,118.9,4096,55,4096,1,0.45285323670555283,0.7915,150.2,success,0.8896484375,,0,0.79150390625,0.2109375
28,Linear,0.04279575285178658,4096,11008,2.6875,5.054469271890364,-1.1334301821853758,-0.9772490259050155,True,0.5967,LAYER_TYPE.DENSE,-0.6205769800369244,2.066,-0.2242,_orig_mod.model.layers.1.mlp.up_proj,0,116.75,4096,47,4096,1,0.5914051258727626,0.5967,195.6,success,0.7724609375,,0,0.5966796875,0.2142333984375
29,Linear,0.04118997664383672,4096,11008,2.6875,5.241838635367966,-2.8871064358862624,-1.0037697642725036,True,0.2812,LAYER_TYPE.DENSE,-2.0325448799181864,2.084,-0.551,_orig_mod.model.layers.1.mlp.down_proj,0,121.56,4096,129,4096,1,0.37347306709967726,0.2812,432.2,success,0.5302734375,,0,0.28125,0.10528564453125
35,Linear,0.03147398337371282,4096,4096,1.0,2.133907704000764,0.7392614824162803,-0.8864355884648291,True,2.22,LAYER_TYPE.DENSE,1.1753657720387272,1.734,0.3464,_orig_mod.model.layers.2.self_attn.q_proj,0,54.25,4096,370,4096,1,0.05894905453227743,2.22,24.42,success,1.490234375,,59,2.220703125,0.02777099609375
36,Linear,0.015078816123449856,4096,4096,1.0,2.0186132578486435,1.1295560515110086,-0.8414306991139402,True,3.627,LAYER_TYPE.DENSE,1.6712242872023393,1.821,0.5596,_orig_mod.model.layers.2.self_attn.k_proj,0,66.25,4096,407,4096,1,0.05049078464741963,3.627,18.27,success,1.904296875,,66,3.626953125,0.0240325927734375
37,Linear,0.051195193428578534,4096,4096,1.0,3.324183169670434,-1.951009848605401,-0.9531392637527536,True,0.2588,LAYER_TYPE.DENSE,-1.2229722177377425,1.556,-0.587,_orig_mod.model.layers.2.self_attn.v_proj,0,35.94,4096,199,4096,1,0.16475697659760707,0.2588,138.9,success,0.5087890625,,58,0.2587890625,0.040435791015625
38,Linear,0.032213303766367274,4096,4096,1.0,3.9030951148120407,-2.607145564972105,-0.9668014623057021,True,0.2147,LAYER_TYPE.DENSE,-1.8519791898068627,1.607,-0.668,_orig_mod.model.layers.2.self_attn.o_proj,0,40.5,4096,132,4096,1,0.25268199630145877,0.2147,188.6,success,0.46337890625,,43,0.2147216796875,0.049835205078125
41,Linear,0.033706629398676746,4096,11008,2.6875,5.724444736688097,-1.1201519669080835,-0.9860892720275115,True,0.637,LAYER_TYPE.DENSE,-0.8908103370658387,2.111,-0.1957,_orig_mod.model.layers.2.mlp.gate_proj,0,129.0,4096,37,4096,1,0.7766939302916486,0.637,202.5,success,0.79833984375,,0,0.63720703125,0.2313232421875
42,Linear,0.03948148318684219,4096,11008,2.6875,6.345672998486152,-1.8916178542850566,-0.987696589504329,True,0.5034,LAYER_TYPE.DENSE,-1.5739071976562384,2.096,-0.298,_orig_mod.model.layers.2.mlp.up_proj,0,124.56,4096,32,4096,1,0.9449904068088456,0.5034,247.4,success,0.70947265625,under-trained,0,0.50341796875,0.222900390625
43,Linear,0.019067936998559798,4096,11008,2.6875,5.600047854255891,-2.9613534307417626,-1.0085917167029559,True,0.296,LAYER_TYPE.DENSE,-2.2585182510096145,2.121,-0.529,_orig_mod.model.layers.2.mlp.down_proj,0,132.4,4096,110,4096,1,0.4385973537772453,0.296,447.2,success,0.5439453125,,0,0.2958984375,0.10992431640625
49,Linear,0.03600456664588292,4096,4096,1.0,2.3195193243650283,0.29900053790642944,-0.9065270569250473,True,1.346,LAYER_TYPE.DENSE,0.7840351574433844,1.694,0.1289,_orig_mod.model.layers.3.self_attn.q_proj,0,49.44,4096,266,4096,1,0.08090492069788219,1.346,36.75,success,1.16015625,,82,1.345703125,0.039642333984375
50,Linear,0.02936794877332216,4096,4096,1.0,2.2071618133550217,0.9284521006862066,-0.8735770486502894,True,2.635,LAYER_TYPE.DENSE,1.4354711107425635,1.758,0.4207,_orig_mod.model.layers.3.self_attn.k_proj,0,57.22,4096,282,4096,1,0.07188543988003936,2.635,21.72,success,1.623046875,,87,2.634765625,0.037353515625
51,Linear,0.04593942441225707,4096,4096,1.0,3.691323055877153,-1.7924906147801898,-0.9507282875375275,True,0.327,LAYER_TYPE.DENSE,-1.0563301855302059,1.623,-0.4856,_orig_mod.model.layers.3.self_attn.v_proj,0,41.97,4096,53,4096,1,0.3696816527233948,0.327,128.4,success,0.57177734375,,49,0.326904296875,0.09063720703125
52,Linear,0.03350609427122608,4096,4096,1.0,4.114616982750027,-1.9156676235606205,-0.9635868273520671,True,0.3423,LAYER_TYPE.DENSE,-1.514434914075328,1.664,-0.4656,_orig_mod.model.layers.3.self_attn.o_proj,0,46.1,4096,53,4096,1,0.42782554523470795,0.3423,134.6,success,0.5849609375,,41,0.34228515625,0.08514404296875
55,Linear,0.037476096079984256,4096,11008,2.6875,4.300121570563819,-0.7401332293084698,-0.996536835626825,True,0.673,LAYER_TYPE.DENSE,-0.3425967446130871,2.14,-0.1721,_orig_mod.model.layers.3.mlp.gate_proj,0,138.5,4096,70,4096,1,0.3944399715419428,0.673,205.9,success,0.8203125,,0,0.6728515625,0.168212890625
56,Linear,0.040398320280558314,4096,11008,2.6875,4.527669062696699,-1.3253601577571636,-0.996536835626825,True,0.51,LAYER_TYPE.DENSE,-0.7622746551591781,2.12,-0.2927,_orig_mod.model.layers.3.mlp.up_proj,0,131.6,4096,69,4096,1,0.4246814495170179,0.51,258.2,success,0.7138671875,,0,0.509765625,0.1578369140625
57,Linear,0.021499916822030785,4096,11008,2.6875,4.694900111280642,-1.8786477740207452,-1.005377081749321,True,0.398,LAYER_TYPE.DENSE,-1.1930249636571695,2.135,-0.4001,_orig_mod.model.layers.3.mlp.down_proj,0,136.2,4096,115,4096,1,0.34455121197368693,0.398,342.5,success,0.630859375,,0,0.39794921875,0.11920166015625
63,Linear,0.044839355302673134,4096,4096,1.0,4.800980097519645,-1.1410532531580504,-0.9274221841236743,True,0.5786,LAYER_TYPE.DENSE,-0.9126466487955889,1.663,-0.2377,_orig_mod.model.layers.4.self_attn.q_proj,0,46.03,4096,28,4096,1,0.7183177197387868,0.5786,79.56,success,0.7607421875,,79,0.57861328125,0.1842041015625
64,Linear,0.049226902886862295,4096,4096,1.0,4.547511252851464,-0.6550370212847568,-0.9290295016004917,True,0.718,LAYER_TYPE.DENSE,-0.5130617800521691,1.679,-0.144,_orig_mod.model.layers.4.self_attn.k_proj,0,47.72,4096,20,4096,1,0.7932476312321318,0.718,66.5,success,0.84716796875,,84,0.7177734375,0.2039794921875
65,Linear,0.05792561546888125,4096,4096,1.0,3.702772741042277,-2.64690395160444,-0.9611758511368409,True,0.1927,LAYER_TYPE.DENSE,-1.5908027475191326,1.616,-0.715,_orig_mod.model.layers.4.self_attn.v_proj,0,41.34,4096,146,4096,1,0.22368306360405513,0.1927,214.5,success,0.43896484375,,45,0.1927490234375,0.052734375
66,Linear,0.04564413249522575,4096,4096,1.0,4.346995665107567,-3.345149007914807,-0.9692124385209282,True,0.17,LAYER_TYPE.DENSE,-2.3473516696194268,1.644,-0.7695,_orig_mod.model.layers.4.self_attn.o_proj,0,44.0,4096,107,4096,1,0.3235662838137145,0.17,258.8,success,0.412353515625,,40,0.1700439453125,0.059478759765625
69,Linear,0.03580312732680696,4096,11008,2.6875,3.215849051219703,-0.3018784082504824,-0.9941258594115988,True,0.8057,LAYER_TYPE.DENSE,0.37277668602620173,2.162,-0.0939,_orig_mod.model.layers.4.mlp.gate_proj,0,145.1,4096,332,4096,1,0.12161051567799408,0.8057,180.1,success,0.8974609375,,0,0.8056640625,0.08917236328125
70,Linear,0.04370483214005477,4096,11008,2.6875,3.37597286055692,-0.8361631999597157,-0.9949295181500076,True,0.5654,LAYER_TYPE.DENSE,0.047936952509709606,2.13,-0.2477,_orig_mod.model.layers.4.mlp.up_proj,0,135.0,4096,325,4096,1,0.13179526119767423,0.5654,238.8,success,0.751953125,,0,0.5654296875,0.08624267578125
