layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
5,Embedding,0.018154712720665822,4096,32000,7.8125,2.884948317659293,8.48580501249003,-0.9796600021202417,True,874.0,LAYER_TYPE.EMBEDDING,8.702765276946945,4.73,2.941,_orig_mod.base_model.model.model.embed_tokens,0,53800.0,4096,372,4096,1,0.0977300176238034,874.0,61.56,success,29.5625,,0,874.0,31.546875
9,"Linear
  in_features=4096, out_features=4096, bias=False
  
    
  )
  
    
  )
  
    
  )
  
  
)",0.04967237837056082,4096,4096,1.0,2.7132629500921244,8.19278226727036,-0.7691014126571545,True,1048.0,LAYER_TYPE.DENSE,8.45442273882408,4.215,3.02,_orig_mod.base_model.model.model.layers.0.self_attn.q_proj,0,16400.0,4096,46,4096,1,0.25260684076929274,1048.0,15.65,success,32.375,,27,1048.0,94.125
18,"Linear
  in_features=4096, out_features=4096, bias=False
  
    
  )
  
    
  )
  
    
  )
  
  
)",0.06073603575273362,4096,4096,1.0,1.368530832640526,3.977292732361529,-0.7646812895959065,True,805.0,LAYER_TYPE.DENSE,4.995206098690997,4.215,2.906,_orig_mod.base_model.model.model.layers.0.self_attn.k_proj,0,16376.0,4096,1476,4096,1,0.009592474417568542,805.0,20.34,success,28.375,over-trained,33,805.0,0.050933837890625
27,"Linear
  in_features=4096, out_features=4096, bias=False
  
    
  )
  
    
  )
  
    
  )
  
  
)",0.02910498437905351,4096,4096,1.0,4.221139976530791,5.358869110830106,-0.9651941448288845,True,18.6,LAYER_TYPE.DENSE,5.684116984145552,3.486,1.27,_orig_mod.base_model.model.model.layers.0.self_attn.v_proj,0,3060.0,4096,181,4096,1,0.23942544887980718,18.6,164.6,success,4.3125,,7,18.59375,3.29296875
36,Linear,0.018392464982759482,4096,4096,1.0,3.7758203775266406,6.360634913313921,-0.9659978035672934,True,48.4,LAYER_TYPE.DENSE,6.371161433536957,3.37,1.685,_orig_mod.base_model.model.model.layers.0.self_attn.o_proj,0,2342.0,4096,125,4096,1,0.2482769222991479,48.4,48.38,success,6.95703125,,6,48.40625,2.5546875
39,Linear,0.03737406942551835,4096,11008,2.6875,2.789055082118492,5.845031451392855,-0.9563538987063885,True,124.6,LAYER_TYPE.DENSE,6.564437294638408,4.113,2.096,_orig_mod.base_model.model.model.layers.0.mlp.gate_proj,0,12970.0,4096,394,4096,1,0.09013129293777232,124.6,104.06,success,11.1640625,,0,124.625,8.828125
40,Linear,0.04274673755024118,4096,11008,2.6875,5.398155243265254,9.731440018620761,-0.9708197559977457,True,63.5,LAYER_TYPE.DENSE,10.177655232928627,4.086,1.803,_orig_mod.base_model.model.model.layers.0.mlp.up_proj,0,12190.0,4096,75,4096,1,0.5078552227273917,63.5,192.0,success,7.96875,,0,63.5,19.59375
41,Linear,0.029783226628475767,4096,11008,2.6875,4.772842273214703,11.018553841679257,-1.0077880579645473,True,203.2,LAYER_TYPE.DENSE,11.017727122497039,4.28,2.309,_orig_mod.base_model.model.model.layers.0.mlp.down_proj,0,19040.0,4096,445,4096,1,0.17884987627601484,203.2,93.7,success,14.2578125,,0,203.25,9.78125
47,"Linear
  in_features=4096, out_features=4096, bias=False
  
    
  )
  
    
  )
  
    
  )
  
  
)",0.03611740847019995,4096,4096,1.0,3.5996746369653536,9.540543910863251,-0.8671477787430195,True,447.5,LAYER_TYPE.DENSE,9.82418263467916,4.28,2.65,_orig_mod.base_model.model.model.layers.1.self_attn.q_proj,0,19020.0,4096,48,4096,1,0.3752307128643474,447.5,42.5,success,21.15625,,13,447.5,79.875
56,"Linear
  in_features=4096, out_features=4096, bias=False
  
    
  )
  
    
  )
  
    
  )
  
  
)",0.03967378081238804,4096,4096,1.0,3.643820640946381,10.49733485428889,-0.8623258263125672,True,760.5,LAYER_TYPE.DENSE,10.547383334951359,4.293,2.88,_orig_mod.base_model.model.model.layers.1.self_attn.k_proj,0,19660.0,4096,56,4096,1,0.3532953939465158,760.5,25.86,success,27.578125,,15,760.5,77.125
65,"Linear
  in_features=4096, out_features=4096, bias=False
  
    
  )
  
    
  )
  
    
  )
  
  
)",0.018998972853491947,4096,4096,1.0,4.387305205770766,5.047114777732386,-0.9692124385209282,True,14.13,LAYER_TYPE.DENSE,5.464700846353508,3.35,1.15,_orig_mod.base_model.model.model.layers.1.self_attn.v_proj,0,2238.0,4096,142,4096,1,0.28425633835441577,14.13,158.4,success,3.759765625,,6,14.1328125,2.634765625
74,Linear,0.02468869435419907,4096,4096,1.0,4.51316477458589,6.743302837027747,-0.9716234147361544,True,31.2,LAYER_TYPE.DENSE,6.7872090565908225,3.342,1.494,_orig_mod.base_model.model.model.layers.1.self_attn.o_proj,0,2200.0,4096,271,4096,1,0.21340956183504076,31.2,70.5,success,5.5859375,,7,31.203125,1.8642578125
77,Linear,0.015968029643741333,4096,11008,2.6875,2.7891496240799247,6.302824443477486,-0.9796600021202417,True,182.2,LAYER_TYPE.DENSE,6.971934059157067,4.32,2.26,_orig_mod.base_model.model.model.layers.1.mlp.gate_proj,0,20960.0,4096,650,4096,1,0.07023026596739512,182.2,115.0,success,13.5,,0,182.25,8.46875
78,Linear,0.05963023733836342,4096,11008,2.6875,5.445409235236082,8.295740631804968,-1.0013587880572774,True,33.34,LAYER_TYPE.DENSE,9.589224963251612,4.277,1.523,_orig_mod.base_model.model.model.layers.1.mlp.up_proj,0,18860.0,4096,136,4096,1,0.3811906971112151,33.34,565.5,success,5.7734375,,0,33.34375,16.53125
79,Linear,0.02699717895278031,4096,11008,2.6875,4.289753385523856,8.990049575521674,-1.0158246453486346,True,124.8,LAYER_TYPE.DENSE,9.017911089110349,4.3,2.096,_orig_mod.base_model.model.model.layers.1.mlp.down_proj,0,20020.0,4096,47,4096,1,0.47985984960960704,124.8,160.4,success,11.171875,,0,124.8125,15.8125
85,"Linear
  in_features=4096, out_features=4096, bias=False
  
    
  )
  
    
  )
  
    
  )
  
  
)",0.03056330631540627,4096,4096,1.0,2.6723461124337637,7.009689119137783,-0.907330715663456,True,420.2,LAYER_TYPE.DENSE,7.573991415408115,4.35,2.623,_orig_mod.base_model.model.model.layers.2.self_attn.q_proj,0,22540.0,4096,175,4096,1,0.12641748341501147,420.2,53.66,success,20.5,,7,420.25,29.359375
94,"Linear
  in_features=4096, out_features=4096, bias=False
  
    
  )
  
    
  )
  
    
  )
  
  
)",0.025013414150736324,4096,4096,1.0,3.069011338307785,8.757471807163427,-0.9057233981866386,True,713.0,LAYER_TYPE.DENSE,8.866391670679036,4.38,2.854,_orig_mod.base_model.model.model.layers.2.self_attn.k_proj,0,24030.0,4096,114,4096,1,0.19378066634607236,713.0,33.72,success,26.703125,,10,713.0,43.625
103,"Linear
  in_features=4096, out_features=4096, bias=False
  
    
  )
  
    
  )
  
    
  )
  
  
)",0.022362389962124363,4096,4096,1.0,4.455157571393208,4.459508311209022,-0.9796600021202417,True,10.02,LAYER_TYPE.DENSE,5.52909884048652,3.514,1.001,_orig_mod.base_model.model.model.layers.2.self_attn.v_proj,0,3262.0,4096,179,4096,1,0.2582506019846836,10.02,325.5,success,3.166015625,,5,10.0234375,3.201171875
112,Linear,0.017881207343042216,4096,4096,1.0,4.678302996899259,8.44744359498704,-0.9828746370738767,True,63.94,LAYER_TYPE.DENSE,8.448192090736367,3.521,1.806,_orig_mod.base_model.model.model.layers.2.self_attn.o_proj,0,3330.0,4096,305,4096,1,0.21061901691262253,63.94,52.1,success,7.99609375,,4,63.9375,2.4140625
115,Linear,0.012056473537332746,4096,11008,2.6875,2.8851148991933933,6.761988044984515,-0.9925185419347814,True,221.0,LAYER_TYPE.DENSE,7.138405500220599,4.367,2.344,_orig_mod.base_model.model.model.layers.2.mlp.gate_proj,0,23360.0,4096,721,4096,1,0.07020534753629512,221.0,105.7,success,14.8671875,,0,221.0,8.5859375
116,Linear,0.06137932523988887,4096,11008,2.6875,3.962229591412455,6.7133479893560635,-1.0085917167029559,True,49.5,LAYER_TYPE.DENSE,7.537796836815638,4.29,1.694,_orig_mod.base_model.model.model.layers.2.mlp.up_proj,0,19410.0,4096,501,4096,1,0.13234265807435946,49.5,392.0,success,7.03515625,,0,49.5,9.5859375
117,Linear,0.017701180388706383,4096,11008,2.6875,4.905553049282545,8.852990268627094,-1.0182356215638608,True,63.75,LAYER_TYPE.DENSE,9.010121855245359,4.3,1.805,_orig_mod.base_model.model.model.layers.2.mlp.down_proj,0,20030.0,4096,494,4096,1,0.17571913905860784,63.75,314.2,success,7.984375,,0,63.75,8.9453125
