layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
3,Embedding,0.0183080453105936,4096,32000,7.8125,2.88743035648924,8.48746618460216,-0.9796600021202417,True,869.5,LAYER_TYPE.EMBEDDING,8.703744402842663,4.727,2.94,_orig_mod.model.embed_tokens,0,53470.0,4096,372,4096,1,0.09785870534235841,869.5,61.5,success,29.484375,,0,869.5,31.421875
7,Linear,0.05097998323072317,4096,4096,1.0,2.7178479272332514,8.196010155562774,-0.7691014126571545,True,1038.0,LAYER_TYPE.DENSE,8.459017481212497,4.215,3.016,_orig_mod.model.layers.0.self_attn.q_proj,0,16344.0,4096,46,4096,1,0.25328285876790596,1038.0,15.74,success,32.21875,,30,1038.0,94.0
8,Linear,0.06202837437990538,4096,4096,1.0,1.3689055894151076,3.973034581779004,-0.7646812895959065,True,798.0,LAYER_TYPE.DENSE,4.991776245608141,4.21,2.902,_orig_mod.model.layers.0.self_attn.k_proj,0,16264.0,4096,1437,4096,1,0.009731658296984176,798.0,20.38,success,28.25,over-trained,35,798.0,0.05401611328125
9,Linear,0.028902400648630755,4096,4096,1.0,4.229792232205394,5.427682610466688,-0.9651941448288845,True,19.2,LAYER_TYPE.DENSE,5.722411501323743,3.482,1.283,_orig_mod.model.layers.0.self_attn.v_proj,0,3036.0,4096,166,4096,1,0.2506804938948447,19.2,158.1,success,4.3828125,,7,19.203125,3.37109375
10,Linear,0.018846229688295635,4096,4096,1.0,3.7772508555731013,6.35566721108638,-0.9651941448288845,True,48.2,LAYER_TYPE.DENSE,6.366108632392566,3.367,1.683,_orig_mod.model.layers.0.self_attn.o_proj,0,2326.0,4096,130,4096,1,0.2445233032882951,48.2,48.28,success,6.94140625,,6,48.1875,2.51171875
13,Linear,0.036873240766460036,4096,11008,2.6875,2.7906177442780002,5.831955051518477,-0.9563538987063885,True,123.06,LAYER_TYPE.DENSE,6.554707947986303,4.11,2.09,_orig_mod.model.layers.0.mlp.gate_proj,0,12824.0,4096,391,4096,1,0.09055543166988249,123.06,104.2,success,11.09375,,0,123.0625,8.78125
14,Linear,0.040875964619953575,4096,11008,2.6875,5.397001620766046,9.713548815499827,-0.9700160972593369,True,63.06,LAYER_TYPE.DENSE,10.148059738369293,4.082,1.8,_orig_mod.model.layers.0.mlp.up_proj,0,12050.0,4096,76,4096,1,0.5043706768290459,63.06,191.0,success,7.94140625,,0,63.0625,19.34375
15,Linear,0.029955928806208343,4096,11008,2.6875,4.799881496792285,11.052852118590046,-1.0077880579645473,True,201.1,LAYER_TYPE.DENSE,11.0581663389936,4.277,2.303,_orig_mod.model.layers.0.mlp.down_proj,0,18910.0,4096,442,4096,1,0.18074193115592654,201.1,94.0,success,14.1796875,,0,201.125,9.7265625
21,Linear,0.03543000044534905,4096,4096,1.0,3.6010042726832046,9.53000154196434,-0.8671477787430195,True,443.0,LAYER_TYPE.DENSE,9.814216277949459,4.277,2.646,_orig_mod.model.layers.1.self_attn.q_proj,0,18860.0,4096,48,4096,1,0.37542262924925374,443.0,42.6,success,21.046875,,13,443.0,79.3125
22,Linear,0.0406628937066833,4096,4096,1.0,3.666649598644672,10.541617596103432,-0.8623258263125672,True,748.5,LAYER_TYPE.DENSE,10.586384019331737,4.29,2.875,_orig_mod.model.layers.1.self_attn.k_proj,0,19460.0,4096,56,4096,1,0.35634604173952156,748.5,26.0,success,27.359375,,18,748.5,76.5625
23,Linear,0.016885586744409875,4096,4096,1.0,4.370133010443449,5.082840249451316,-0.9692124385209282,True,14.56,LAYER_TYPE.DENSE,5.479946345320183,3.346,1.163,_orig_mod.model.layers.1.self_attn.v_proj,0,2218.0,4096,145,4096,1,0.2798743130232055,14.56,152.2,success,3.81640625,,7,14.5625,2.599609375
